Trip No,Schedule,Latitude,Longitude
1,Kanchimalli3,12.116343,76.57392
1,Kanchimalli4,12.116343,76.57392
1,Golooru1,12.090476,76.542863
1,Siddegowdanapura1,12.071036,76.545831
1,Shiramalli1,12.087084,76.551643
1,Shiramalli1,12.087084,76.551643
1,Gowdarahundi2,12.125832,76.547515
1,Gowdarahundi1,12.125832,76.547515
1,Ahahya2,12.130263,76.543339
1,Ahahya1,12.130263,76.543339
2,Hatwal1,12.112536,76.57392
2,Gowdarahundi4,12.125832,76.57392
2,Gowdarahundi3,12.125832,76.542863
2,Ahahya4,12.130263,76.545831
2,Ahahya3,12.130263,76.551643
3,Kanchimalli2,12.116343,76.57392
3,Kanchimalli1,12.116343,76.57392
3,Heggadahalli1,12.090476,76.542863
3,Gowdarahundi6,12.071036,76.545831
3,Gowdarahundi5,12.087084,76.551643
3,Ahahya6,12.087084,76.551643
3,Ahahya5,12.125832,76.547515
3,Hatwal3,12.125832,76.547515
3,Hatwal2,12.130263,76.543339
4,Heginavalu1,12.116343,76.57392
4,Kaggaluru1,12.116343,76.57392
4,Hura1,12.090476,76.542863
4,Hallare1,12.071036,76.545831
4,Malkundi1,12.087084,76.551643
4,Handuvinahalli2,12.087084,76.551643
4,Handuvinahalli3,12.125832,76.547515
5,Duggalli1,12.116343,76.57392
5,Kaggaluru2,12.116343,76.57392
5,Kaggaluru3,12.090476,76.542863
5,Heginavalu2,12.071036,76.545831
5,Heginavalu3,12.087084,76.551643
5,Handuvinahalli1,12.087084,76.551643
6,Devirammanahalli1,12.116343,76.57392
6,Debouru1,12.116343,76.57392
6,Byalaru1,12.090476,76.542863
6,Haratale1,12.071036,76.545831
6,Kathvadipura1,12.087084,76.551643
6,Heggadahalli3,12.087084,76.551643
6,Heggadahalli2,12.125832,76.547515
6,Kanchimalli6,12.125832,76.547515
6,Kanchimalli5,12.130263,76.543339
7,Devirammanahalli2,12.116343,76.57392
7,Devirammanahalli3,12.116343,76.57392
7,Debouru2,12.090476,76.542863
7,Debouru3,12.071036,76.545831
7,Byalaru3,12.087084,76.551643
7,Byalaru2,12.087084,76.551643
7,Haratale3,12.125832,76.547515
7,Haratale2,12.125832,76.547515
